$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run --data-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_data --expect-device cuda --no-preflight
device=cuda  params=4,176,422  head=fmpe  run_dir=/dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run
step  16000/60000 | total 0.7243 | post 0.7047 | det 0.0195 | 304 lc/s | wait 0% | eta 10h17m59s
step  16100/60000 | total 0.8090 | post 0.7846 | det 0.0244 | 5854 lc/s | wait 6% | eta 31m59s
step  16200/60000 | total 0.7290 | post 0.7058 | det 0.0232 | 5630 lc/s | wait 5% | eta 33m11s
step  16300/60000 | total 0.7403 | post 0.6626 | det 0.0777 | 5876 lc/s | wait 5% | eta 31m44s
step  16400/60000 | total 0.7124 | post 0.6838 | det 0.0286 | 5672 lc/s | wait 5% | eta 32m47s
step  16500/60000 | total 0.6529 | post 0.6404 | det 0.0125 | 5742 lc/s | wait 5% | eta 32m19s
step  16600/60000 | total 0.6841 | post 0.6469 | det 0.0372 | 5558 lc/s | wait 5% | eta 33m18s
step  16700/60000 | total 0.6341 | post 0.5868 | det 0.0473 | 5625 lc/s | wait 5% | eta 32m50s
step  16800/60000 | total 0.6165 | post 0.5956 | det 0.0209 | 5770 lc/s | wait 5% | eta 31m56s
step  16900/60000 | total 0.6595 | post 0.6284 | det 0.0312 | 5694 lc/s | wait 5% | eta 32m17s
step  17000/60000 | total 0.7184 | post 0.6658 | det 0.0526 | 5585 lc/s | wait 5% | eta 32m51s
step  17100/60000 | total 0.6059 | post 0.5510 | det 0.0549 | 5578 lc/s | wait 5% | eta 32m48s
step  17200/60000 | total 0.7062 | post 0.6528 | det 0.0534 | 5689 lc/s | wait 5% | eta 32m06s
step  17300/60000 | total 0.6897 | post 0.6680 | det 0.0217 | 5754 lc/s | wait 5% | eta 31m39s
step  17400/60000 | total 0.8284 | post 0.8003 | det 0.0280 | 5712 lc/s | wait 5% | eta 31m49s
step  17500/60000 | total 0.7358 | post 0.7188 | det 0.0170 | 5629 lc/s | wait 5% | eta 32m12s
step  17600/60000 | total 0.7137 | post 0.6758 | det 0.0380 | 5677 lc/s | wait 5% | eta 31m52s
step  17700/60000 | total 0.7219 | post 0.6533 | det 0.0687 | 5642 lc/s | wait 5% | eta 31m59s
step  17800/60000 | total 0.6668 | post 0.6426 | det 0.0241 | 5701 lc/s | wait 5% | eta 31m35s
step  17900/60000 | total 0.8047 | post 0.7819 | det 0.0228 | 5616 lc/s | wait 5% | eta 31m59s
  [val] post 0.7640 det 0.0784 acc 0.967 auc 0.996
step  18000/60000 | total 0.6866 | post 0.6696 | det 0.0170 | 302 lc/s | wait 0% | eta 9h52m41s
step  18100/60000 | total 0.7387 | post 0.6858 | det 0.0529 | 6176 lc/s | wait 6% | eta 28m56s
step  18200/60000 | total 0.7117 | post 0.6780 | det 0.0337 | 6473 lc/s | wait 6% | eta 27m33s
