
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step  12800/60000 | total 1.1473 | post 0.9623 | det 0.1850 | 2115 lc/s | wait 5% | eta 1h35m11s
step  12900/60000 | total 1.1982 | post 0.9987 | det 0.1996 | 2131 lc/s | wait 5% | eta 1h34m19s
step  13000/60000 | total 0.9368 | post 0.7625 | det 0.1743 | 2130 lc/s | wait 5% | eta 1h34m07s
step  13100/60000 | total 1.2251 | post 1.0277 | det 0.1974 | 2130 lc/s | wait 5% | eta 1h33m55s
step  13200/60000 | total 1.1587 | post 0.9438 | det 0.2149 | 2120 lc/s | wait 5% | eta 1h34m12s
step  13300/60000 | total 1.3268 | post 1.1373 | det 0.1894 | 2131 lc/s | wait 5% | eta 1h33m30s
step  13400/60000 | total 1.1571 | post 0.9723 | det 0.1848 | 2134 lc/s | wait 5% | eta 1h33m10s
step  13500/60000 | total 0.9022 | post 0.7111 | det 0.1911 | 2131 lc/s | wait 5% | eta 1h33m06s
step  13600/60000 | total 1.1316 | post 0.9363 | det 0.1954 | 2134 lc/s | wait 5% | eta 1h32m46s
step  13700/60000 | total 1.2874 | post 1.1075 | det 0.1798 | 2139 lc/s | wait 5% | eta 1h32m21s
step  13800/60000 | total 1.3147 | post 1.0523 | det 0.2625 | 2131 lc/s | wait 5% | eta 1h32m31s
step  13900/60000 | total 1.0690 | post 0.9067 | det 0.1623 | 2144 lc/s | wait 5% | eta 1h31m44s
  [val] post 0.9462 det 0.5979 acc 0.827 auc 0.933
step  14000/60000 | total 1.1762 | post 0.9741 | det 0.2021 | 1979 lc/s | wait 5% | eta 1h39m11s
step  14100/60000 | total 1.1292 | post 0.9582 | det 0.1710 | 2109 lc/s | wait 5% | eta 1h32m50s
step  14200/60000 | total 1.3232 | post 1.1269 | det 0.1964 | 2172 lc/s | wait 5% | eta 1h29m57s
step  14300/60000 | total 0.9428 | post 0.7311 | det 0.2117 | 2152 lc/s | wait 5% | eta 1h30m37s
step  14400/60000 | total 0.8916 | post 0.7116 | det 0.1800 | 2155 lc/s | wait 5% | eta 1h30m17s
step  14500/60000 | total 1.0904 | post 0.8977 | det 0.1927 | 2159 lc/s | wait 5% | eta 1h29m53s
step  14600/60000 | total 1.2118 | post 0.9859 | det 0.2259 | 2162 lc/s | wait 5% | eta 1h29m34s
step  14700/60000 | total 0.9810 | post 0.7897 | det 0.1913 | 2159 lc/s | wait 5% | eta 1h29m31s
step  14800/60000 | total 1.1296 | post 0.9393 | det 0.1903 | 2158 lc/s | wait 5% | eta 1h29m21s
step  14900/60000 | total 0.9630 | post 0.7723 | det 0.1907 | 2161 lc/s | wait 5% | eta 1h29m03s
step  15000/60000 | total 0.9778 | post 0.8172 | det 0.1605 | 2151 lc/s | wait 5% | eta 1h29m16s
step  15100/60000 | total 1.1795 | post 0.9384 | det 0.2411 | 2178 lc/s | wait 5% | eta 1h27m57s
